,date,BABY.BUNDL,BUY.2.GET,BUY2GET1,KIABI.40TH,LOYALTY,SUPERSALE,VIP.WEEKEN,Quantity
,2018-12-04,1,0,0,0,1,0,0,44256
,2018-12-05,1,0,0,0,1,0,0,20635
,2018-12-06,1,0,0,0,1,0,0,51646
,2018-12-07,1,0,0,0,1,0,0,34159
,2018-12-08,1,0,0,0,1,0,0,35986
,2018-12-09,0,0,0,0,0,0,0,25825
,2018-12-10,1,0,0,0,1,0,0,22378
,2018-12-11,1,0,0,0,1,0,0,27540
,2018-12-12,1,0,0,0,1,0,0,13158
,2018-12-13,1,0,0,0,1,0,0,25254
,2018-12-14,1,0,0,0,1,0,0,39452
,2018-12-15,1,0,0,0,1,0,0,34900
,2018-12-16,1,0,0,0,1,0,0,19324
,2018-12-17,1,0,0,0,1,0,0,37644
,2018-12-18,1,0,0,0,1,0,0,24700
,2018-12-19,1,0,0,0,1,0,0,16777
,2018-12-20,1,0,0,0,1,0,0,26056
,2018-12-21,1,0,0,0,1,0,0,25348
,2018-12-22,1,0,0,0,1,0,0,21099
,2018-12-23,1,0,0,0,1,0,0,13791
,2018-12-24,1,0,0,0,1,0,0,15729
,2018-12-25,1,0,0,0,1,0,0,14449
,2018-12-26,1,0,0,0,1,0,0,50630
,2018-12-27,1,0,0,0,1,0,0,36972
,2018-12-28,1,0,0,0,1,0,0,27888
,2018-12-29,1,0,0,0,1,0,0,20972
,2018-12-30,1,0,0,0,1,0,0,20445
,2018-12-31,0,0,0,0,1,0,0,15993
