date,Payweek,Weekends,Holidays,Festival,Day_of_Month,Day_of_Week,Week_YearWise,Week_QuarterWise
2014-10-12,0,0,0,0,12,1,42,3
2014-10-13,0,0,0,0,13,2,42,3
2014-10-14,0,0,0,0,14,3,42,3
2014-10-15,0,0,0,0,15,4,42,3
2014-10-16,0,1,0,0,16,5,42,3
2014-10-17,0,1,0,0,17,6,42,3
2014-10-18,0,1,0,0,18,7,42,3
2014-10-19,0,0,0,0,19,1,43,4
2014-10-20,0,0,0,0,20,2,43,4
2014-10-21,0,0,0,0,21,3,43,4
2014-10-22,0,0,0,0,22,4,43,4
2014-10-23,0,1,0,1,23,5,43,4
2014-10-24,0,1,0,0,24,6,43,4
2014-10-25,1,1,1,1,25,7,43,4
2014-10-26,1,0,0,0,26,1,44,5
2014-10-27,1,0,0,0,27,2,44,5
2014-10-28,1,0,0,0,28,3,44,5
2014-10-29,1,0,0,0,29,4,44,5
2014-10-30,1,1,0,0,30,5,44,5
2014-10-31,1,1,0,1,31,6,44,5
2014-11-01,1,1,0,0,1,7,44,5
2014-11-02,1,0,0,0,2,1,45,6
2014-11-03,0,0,0,0,3,2,45,6
2014-11-04,0,0,0,0,4,3,45,6
2014-11-05,0,0,0,0,5,4,45,6
2014-11-06,0,1,0,0,6,5,45,6
2014-11-07,0,1,0,0,7,6,45,6
2014-11-08,0,1,0,0,8,7,45,6
2014-11-09,0,0,0,0,9,1,46,7
2014-11-10,0,0,0,0,10,2,46,7
2014-11-11,0,0,0,0,11,3,46,7
2014-11-12,0,0,0,0,12,4,46,7
2014-11-13,0,1,0,0,13,5,46,7
2014-11-14,0,1,0,0,14,6,46,7
2014-11-15,0,1,0,0,15,7,46,7
2014-11-16,0,0,0,0,16,1,47,8
2014-11-17,0,0,0,0,17,2,47,8
2014-11-18,0,0,0,0,18,3,47,8
2014-11-19,0,0,0,0,19,4,47,8
2014-11-20,0,1,0,0,20,5,47,8
2014-11-21,0,1,0,0,21,6,47,8
2014-11-22,0,1,0,0,22,7,47,8
2014-11-23,0,0,0,0,23,1,48,9
2014-11-24,0,0,0,0,24,2,48,9
2014-11-25,1,0,0,0,25,3,48,9
2014-11-26,1,0,0,0,26,4,48,9
2014-11-27,1,1,0,1,27,5,48,9
2014-11-28,1,1,0,1,28,6,48,9
2014-11-29,1,1,0,0,29,7,48,9
2014-11-30,1,0,0,0,30,1,49,10
2014-12-01,1,0,0,0,1,2,49,10
2014-12-02,1,0,1,1,2,3,49,10
2014-12-03,0,0,0,0,3,4,49,10
2014-12-04,0,1,0,0,4,5,49,10
2014-12-05,0,1,0,0,5,6,49,10
2014-12-06,0,1,0,0,6,7,49,10
2014-12-07,0,0,0,0,7,1,50,11
2014-12-08,0,0,0,0,8,2,50,11
2014-12-09,0,0,0,0,9,3,50,11
2014-12-10,0,0,0,0,10,4,50,11
2014-12-11,0,1,0,0,11,5,50,11
2014-12-12,0,1,0,0,12,6,50,11
2014-12-13,0,1,0,0,13,7,50,11
2014-12-14,0,0,0,0,14,1,51,12
